,Image.ID,area_necrosis,area_total_cross_section,convex_hull_area_necrosis,convex_hull_area_total_cross_section,solidity_necrosis,solidity_total_cross_section,perimeter_necrosis,perimeter_total_cross_section,width_necrosis,width_total_cross_section,height_necrosis,height_total_cross_section,longest_path_necrosis,longest_path_total_cross_section,convex_hull_vertices_necrosis,convex_hull_vertices_total_cross_section,ellipse_major_axis_necrosis,ellipse_major_axis_total_cross_section,ellipse_minor_axis_necrosis,ellipse_minor_axis_total_cross_section,ellipse_angle_necrosis,ellipse_angle_total_cross_section,ellipse_eccentricity_necrosis,ellipse_eccentricity_total_cross_section,percent_necrosis,necrotic_area_fraction,necrotic_width_fraction
1,C2_NaCRRI_CET_GWAS_2019_117_10_Root1_image1_1_2020-10-14-09-41-03,65762,1832955,529223,1931017.5,0.124261417,0.949217187,6424.125987,7173.716399,1020,1647,790,1636,6913,11497,19,66,974.9233398,1588.32019,755.6793823,1475.769897,97.99711609,132.2858582,0.631818066,0.369731134,3.587758565,0.288726674,0.613807811
2,C2_NaCRRI_CET_GWAS_2019_117_10_Root1_image2_1_2020-10-14-09-41-16,17003,2541308,615077.5,2607504.5,0.027643671,0.974613083,6027.77568,7219.598649,989,1805,1097,1874,7123,13569,22,70,6218.153809,1844.813965,1656.813843,1744.775024,122.4339676,33.92996597,0.963849331,0.324828649,0.669064907,0.242031859,3.370612933
3,C2_NaCRRI_CET_GWAS_2019_117_10_Root1_image3_1_2020-10-14-09-41-38,NA,871988,NA,878931.5,NA,0.992100067,NA,3612.161803,NA,1035,NA,1069,NA,7565,NA,83,NA,1081.488159,NA,1026.018066,NA,33.49461365,NA,0.316149217,NA,NA,NA
4,C2_NaCRRI_CET_GWAS_2019_117_10_Root2_image1_1_2020-10-14-09-41-58,13124,2042053,419627,2066365,0.031275395,0.988234412,4490.646127,5726.623911,1046,1587,923,1606,6354,11826,33,103,1881.728638,1623.77832,1098.828491,1605.444824,179.5516205,15.88086605,0.811792282,0.149845924,0.642686551,0.205492708,1.158858087
5,C2_NaCRRI_CET_GWAS_2019_117_10_Root2_image2_1_2020-10-14-09-42-24,NA,1574254,NA,1581610,NA,0.995349043,NA,4791.545703,NA,1353,NA,1486,NA,10394,NA,103,NA,1484.126953,NA,1352.089478,NA,9.145002365,NA,0.412332188,NA,NA,NA
6,C2_NaCRRI_CET_GWAS_2019_117_10_Root2_image3_1_2020-10-14-09-42-48,25807,920452,34697,931295.5,0.743781883,0.988356542,964.7493427,3799.576017,326,1143,180,1042,1976,7952,17,83,324.3162537,1140.339966,150.6977539,1025.743408,86.17389679,78.87095642,0.885487619,0.436907022,2.80373121,0.03769561,0.284403128
7,C2_NaCRRI_CET_GWAS_2019_117_10_Root3_image1_1_2020-10-14-09-43-13,14450,2411787,251898,2440603.5,0.057364489,0.988192879,4047.940477,6253.442233,311,1742,1032,1756,7111,11885,22,85,977.6717529,1760.517334,481.5545654,1745.604614,179.4245148,103.8596115,0.870282791,0.129882797,0.599140803,0.104444547,0.55533208
8,C2_NaCRRI_CET_GWAS_2019_117_10_Root3_image2_1_2020-10-14-09-43-28,21288,2171238,926749.5,2193597,0.022970609,0.989807152,7757.361786,5901.934655,1611,1674,846,1713,10144,12370,31,89,1877.467896,1740.237305,827.8334351,1592.711914,85.88369751,139.6167297,0.897541098,0.40293896,0.980454469,0.426829993,1.078857401
9,C2_NaCRRI_CET_GWAS_2019_117_10_Root3_image3_1_2020-10-14-09-44-01,NA,1303058,NA,1315094.5,NA,0.990847426,NA,4453.822833,NA,1371,NA,1246,NA,9558,NA,80,NA,1372.998291,NA,1211.667969,NA,62.64397812,NA,0.470316528,NA,NA,NA
10,C2_NaCRRI_CET_GWAS_2019_117_10_Root4_image1_1_2020-10-14-09-44-27,29402,1294962,74732.5,1306790,0.3934299,0.990948814,2535.38299,4495.372042,359,1372,288,1250,2357,9025,17,83,326.6438904,1366.349121,302.8562012,1225.27417,125.664444,110.2828674,0.374627356,0.442536615,2.270491335,0.057710188,0.239063271
