,Image.ID,area_necrosis,area_total_cross_section,convex_hull_area_necrosis,convex_hull_area_total_cross_section,solidity_necrosis,solidity_total_cross_section,perimeter_necrosis,perimeter_total_cross_section,width_necrosis,width_total_cross_section,height_necrosis,height_total_cross_section,longest_path_necrosis,longest_path_total_cross_section,convex_hull_vertices_necrosis,convex_hull_vertices_total_cross_section,ellipse_major_axis_necrosis,ellipse_major_axis_total_cross_section,ellipse_minor_axis_necrosis,ellipse_minor_axis_total_cross_section,ellipse_angle_necrosis,ellipse_angle_total_cross_section,ellipse_eccentricity_necrosis,ellipse_eccentricity_total_cross_section,percent_necrosis,necrotic_area_fraction,necrotic_width_fraction
1,C2_Serere_GWAS_CET_2019_100_1_Root1_image1_1_2020-11-14-08-24-12,136717,1451764,1143501.5,1481141.5,0.119559966,0.980165636,13336.15126,5097.749678,1272,1433,1218,1325,8618,9936,33,61,1172.846558,1395.202271,1075.864746,1329.72583,54.71155548,110.9800568,0.398172076,0.302749113,9.417301986,0.787663491,0.840628332
2,C2_Serere_GWAS_CET_2019_100_1_Root1_image2_1_2020-11-14-08-24-25,90199,1472342,647334,1888278,0.139339197,0.779727349,9230.966138,11070.28736,1285,2098,842,1369,8727,15105,39,53,1100.582764,1974.150391,783.4238281,1159.226929,97.97913361,79.92430115,0.702355484,0.809439743,6.126226108,0.439662796,0.557496921
3,C2_Serere_GWAS_CET_2019_100_1_Root1_image3_1_2020-11-14-08-24-41,245754,1411863,724939,1449923.5,0.338999557,0.973749994,14049.38972,5239.822833,1160,1411,888,1315,8090,9494,31,63,1054.290894,1420.151123,736.3078613,1271.139038,108.6981888,71.21200562,0.715715886,0.445919481,17.40636308,0.513462708,0.742379368
4,C2_Serere_GWAS_CET_2019_100_1_Root2_image1_1_2020-11-14-08-24-55,6492,1125468,8422,1174115,0.770838281,0.958567091,449.5634892,5264.751766,92,1307,142,1152,908,9305,15,57,137.8291626,1294.795044,77.1259079,1097.929077,162.5328827,82.1652832,0.828778961,0.530066805,0.576826707,0.007483109,0.106448633
5,C2_Serere_GWAS_CET_2019_100_1_Root2_image2_1_2020-11-14-08-25-08,40951,1328837,278810.5,1610081,0.146877539,0.825323074,5944.632194,9385.374465,533,1293,953,1522,6967,10445,17,73,1016.917786,1461.381958,438.7121887,1267.353027,172.0829163,176.7382202,0.902154246,0.497909237,3.081717321,0.209815425,0.695860367
6,C2_Serere_GWAS_CET_2019_100_1_Root2_image3_1_2020-11-14-08-25-17,234966,1874432,1716392.5,2882135.5,0.136895261,0.650362205,16349.314,16299.20349,2063,2313,1274,1590,15160,16851,21,45,3423.242676,3013.727783,1125.240845,1263.177979,100.4015656,99.67999268,0.944432254,0.907920985,12.53531737,0.915686725,1.135883173
7,C2_Serere_GWAS_CET_2019_100_1_Root3_image1_1_2020-11-14-08-25-57,147358,1341359,707646.5,1456703,0.20823674,0.920818451,10070.14601,6402.155875,1194,1748,981,1162,7897,12198,25,44,1103.923828,1643.969482,774.1491089,1104.899048,71.56994629,80.7236557,0.712895378,0.740467481,10.98572418,0.527559363,0.671498978
8,C2_Serere_GWAS_CET_2019_100_1_Root3_image2_1_2020-11-14-08-26-29,189731,1443019,557341,2084548.5,0.340421753,0.692245347,13704.16106,10774.60491,736,2248,1091,1449,7916,16148,30,33,928.3363647,2165.187256,566.2052002,1209.307495,16.71087456,87.67099762,0.79246773,0.829488844,13.14819833,0.386232614,0.428755694
9,C2_Serere_GWAS_CET_2019_100_1_Root3_image3_1_2020-11-14-08-26-40,18459,1128546,177232.5,1889214,0.104151327,0.597362713,2939.213648,12755.65467,282,2073,947,1539,6572,16044,24,66,854.269104,2068.222656,356.6636658,1220.922241,175.6836395,63.25295258,0.908673526,0.807166114,1.635644449,0.157044994,0.413045037
10,C2_Serere_GWAS_CET_2019_100_1_Root4_image1_1_2020-11-14-08-26-54,197623,1496617,592879.5,2120861,0.33332743,0.705664822,11290.15854,9434.622158,694,2285,1120,1462,7356,16514,43,63,962.4721069,2307.485107,709.6036377,1153.610596,166.0816345,75.09215546,0.675596142,0.866058418,13.20464755,0.396146442,0.417108697
11,C2_Serere_GWAS_CET_2019_100_1_Root4_image2_1_2020-11-14-08-27-09,230947,1184270,966722.5,1339174.5,0.238896891,0.884328368,13340.79743,5760.554931,1156,1276,1354,1486,10127,11099,30,61,1292.609741,1519.426636,1040.384766,1137.380127,44.16038895,31.6427021,0.593449103,0.663068454,19.50121172,0.816302448,0.850722049
12,C2_Serere_GWAS_CET_2019_100_1_Root4_image3_1_2020-11-14-08-27-20,71652,1378622,485719.5,2107200,0.14751724,0.654243546,7411.494853,13906.09343,1372,2297,732,1398,8339,16624,23,41,2499.333496,2151.64502,620.0097656,1122.154175,64.17514038,81.633461,0.968742099,0.853231028,5.197363744,0.352322464,1.161591932
13,C2_Serere_GWAS_CET_2019_100_1_Root5_image1_1_2020-11-14-08-27-36,109057,1270438,593855.5,1291242,0.183642317,0.98388838,7686.679772,4691.281641,760,1213,1187,1292,8375,9107,24,72,1220.885498,1318.262207,828.99823,1229.812134,161.1772766,7.375027657,0.734125409,0.36012506,8.584204818,0.467441544,0.926132519
14,C2_Serere_GWAS_CET_2019_100_1_Root5_image2_1_2020-11-14-08-27-49,45913,1107680,267544.5,1121182,0.171608835,0.987957352,5606.562555,4191.479688,550,1151,908,1324,6024,9580,18,80,2024.517212,1346.177734,727.4959106,1050.467285,33.8279686,153.7388458,0.933205589,0.625363873,4.144969666,0.241535913,1.503900384
15,C2_Serere_GWAS_CET_2019_100_1_Root5_image3_1_2020-11-14-08-28-05,26063,800072,43382.5,818421.5,0.600772201,0.977579401,1753.26045,3686.036913,190,965,327,1108,2159,7993,22,57,291.7605591,1083.805176,166.1073456,944.0516357,176.8709869,163.4480286,0.822110733,0.491189225,3.257581818,0.054223245,0.26920019
16,C2_Serere_GWAS_CET_2019_100_2_Root1_image1_1_2020-11-14-08-28-24,7783,1087228,24263.5,1150246.5,0.320769881,0.945213048,1000.375285,4860.200469,323,1254,130,1150,2226,10246,20,58,300.2982788,1344.319214,127.7790146,1063.911499,101.127327,52.46567917,0.904955141,0.611282015,0.715857208,0.022316846,0.223383164
17,C2_Serere_GWAS_CET_2019_100_2_Root1_image2_1_2020-11-14-08-28-37,10647,781111,80421,821577,0.132390793,0.950745943,2423.040734,4271.607542,709,1109,388,1000,5516,7639,28,57,706.2091675,1051.439453,316.2245483,951.6904907,63.96539688,118.1036911,0.894145036,0.425132676,1.363058515,0.102957198,0.671659376
18,C2_Serere_GWAS_CET_2019_100_2_Root1_image3_1_2020-11-14-08-28-48,30829,610808,310973,619002,0.099137224,0.986762563,5184.772443,3080.397304,700,907,627,898,5154,6490,39,69,709.3158569,895.2184448,684.80896,871.5769653,70.56255341,38.85463333,0.260588546,0.228297647,5.04724889,0.509117431,0.792338296
