"","Image.ID","area_necrosis","area_total_cross_section","convex_hull_area_necrosis","convex_hull_area_total_cross_section","solidity_necrosis","solidity_total_cross_section","perimeter_necrosis","perimeter_total_cross_section","width_necrosis","width_total_cross_section","height_necrosis","height_total_cross_section","longest_path_necrosis","longest_path_total_cross_section","convex_hull_vertices_necrosis","convex_hull_vertices_total_cross_section","ellipse_major_axis_necrosis","ellipse_major_axis_total_cross_section","ellipse_minor_axis_necrosis","ellipse_minor_axis_total_cross_section","ellipse_angle_necrosis","ellipse_angle_total_cross_section","ellipse_eccentricity_necrosis","ellipse_eccentricity_total_cross_section","percent_necrosis","necrotic_area_fraction","necrotic_width_fraction"
"1","2020_C2_CET_GWAS_Serere_101_2_Root5_image1_1_2021-11-13-05-13-25",NA,114205,NA,115089,NA,0.992318987913702,NA,1289.64378511906,NA,369,NA,387,NA,2886,NA,62,NA,391.069396972656,NA,370.982818603516,NA,14.1993474960327,NA,0.316367246842702,NA,NA,NA
"2","2020_C2_CET_GWAS_Serere_101_6_Root1_image2_1_2021-11-13-05-16-03",NA,119128,NA,120561,NA,0.988113900846874,NA,1360.46507191658,NA,403,NA,350,NA,2836,NA,50,NA,412.028839111328,NA,371.01416015625,NA,93.2215576171875,NA,0.434945507213464,NA,NA,NA
"3","2020_C2_CET_GWAS_Serere_101_6_Root1_image3_1_2021-11-13-05-16-16",NA,128489,NA,129270.5,NA,0.993954537191393,NA,1364.88137340546,NA,413,NA,403,NA,2898,NA,81,NA,409.291107177734,NA,398.543914794922,NA,73.9141540527344,NA,0.227654658381859,NA,NA,NA
"4","2020_C2_CET_GWAS_Serere_101_6_Root2_image2_1_2021-11-13-05-16-48",NA,137990,NA,140722,NA,0.980585835903412,NA,1485.79306077957,NA,428,NA,434,NA,3105,NA,56,NA,447.220703125,NA,391.801147460938,NA,43.2260513305664,NA,0.482165636386703,NA,NA,NA
"5","2020_C2_CET_GWAS_Serere_101_7_Root3_image2_1_2021-11-13-05-20-34",NA,119518,NA,120758,NA,0.989731529174051,NA,1330.87423312664,NA,374,NA,394,NA,2950,NA,60,NA,415.474822998047,NA,365.711486816406,NA,152.353851318359,NA,0.474555864229692,NA,NA,NA
"6","2020_C2_CET_GWAS_Serere_102_10_Root1_image2_1_2021-11-13-05-38-45",NA,111880,NA,112880,NA,0.991141034727144,NA,1303.88642573357,NA,438,NA,325,NA,3059,NA,58,NA,439.252349853516,NA,324.699066162109,NA,89.2446517944336,NA,0.673476657840068,NA,NA,NA
"7","2020_C2_CET_GWAS_Serere_102_2_Root1_image2_1_2021-11-13-05-34-29",NA,139407,NA,152832.5,NA,0.912155464315509,NA,1705.7098004818,NA,429,NA,519,NA,3794,NA,42,NA,507.118713378906,NA,381.8134765625,NA,32.9400405883789,NA,0.658126366777955,NA,NA,NA
"8","2020_C2_CET_GWAS_Serere_102_4_Root1_image2_1_2021-11-13-05-36-19",NA,127070,NA,130353.5,NA,0.974810802932027,NA,1431.96968603134,NA,418,NA,406,NA,2922,NA,48,NA,422.198791503906,NA,384.540252685547,NA,52.1277198791504,NA,0.412839539341148,NA,NA,NA
"9","2020_C2_CET_GWAS_Serere_104_3_Root2_image1_1_2021-11-13-05-45-17",NA,136931,NA,145602.5,NA,0.940444017101355,NA,1718.9991235733,NA,484,NA,401,NA,3489,NA,36,NA,466.424438476562,NA,380.718139648438,NA,89.3475112915039,NA,0.577701277846312,NA,NA,NA
"10","2020_C2_CET_GWAS_Serere_104_3_Root2_image2_1_2021-11-13-05-45-29",NA,135853,NA,139017.5,NA,0.977236678835398,NA,1474.49659740925,NA,463,NA,386,NA,3264,NA,51,NA,461.28369140625,NA,377.243469238281,NA,90.4780349731445,NA,0.575485072046162,NA,NA,NA
"11","2020_C2_CET_GWAS_Serere_104_9_Root1_image1_1_2021-11-13-05-51-40",NA,173419,NA,176668.5,NA,0.981606794646471,NA,1655.09962880611,NA,426,NA,510,NA,3738,NA,46,NA,524.960876464844,NA,426.199737548828,NA,177.472839355469,NA,0.583838910980593,NA,NA,NA
"12","2020_C2_CET_GWAS_Serere_104_9_Root1_image2_1_2021-11-13-05-51-53",NA,186745,NA,190575,NA,0.979902925357471,NA,1740.42047739029,NA,418,NA,555,NA,3873,NA,61,NA,567.252807617188,NA,419.369323730469,NA,1.18303525447845,NA,0.673377512626742,NA,NA,NA
"13","2020_C2_CET_GWAS_Serere_104_9_Root2_image2_1_2021-11-13-05-52-34",2393,133580,3275,134766.5,0.730687022900763,0.991195883249917,268.752307057381,1405.48440480232,59,427,75,393,527,3259,13,72,71.3298110961914,436.460571289062,59.0242118835449,391.280181884766,3.97196245193481,78.4115600585938,0.561490649922707,0.443074888663042,1.79143584368918,0.0245171432849229,0.16342784615234
"14","2020_C2_CET_GWAS_Serere_106_10_Root1_image1_1_2021-11-14-08-58-55",NA,177520,NA,180532,NA,0.983315977222875,NA,1659.50879001617,NA,482,NA,481,NA,3482,NA,62,NA,487.987182617188,NA,471.477020263672,NA,49.0575828552246,NA,0.257917995550834,NA,NA,NA
"15","2020_C2_CET_GWAS_Serere_106_10_Root3_image1_1_2021-11-14-08-59-55",NA,132768,NA,136661.5,NA,0.971509898544945,NA,1489.58491003513,NA,348,NA,508,NA,3494,NA,54,NA,523.123474121094,NA,335.410400390625,NA,166.469207763672,NA,0.767399955624262,NA,NA,NA
"16","2020_C2_CET_GWAS_Serere_106_10_Root3_image2_1_2021-11-14-09-00-04",NA,186937,NA,189010,NA,0.98903232633194,NA,1688.094576478,NA,439,NA,541,NA,3909,NA,64,NA,555.570861816406,NA,430.577178955078,NA,3.4239764213562,NA,0.631939686298831,NA,NA,NA
"17","2020_C2_CET_GWAS_Serere_106_2_Root2_image2_1_2021-11-13-06-09-03",NA,157856,NA,161078,NA,0.979997268404127,NA,1546.33721709251,NA,474,NA,437,NA,3444,NA,76,NA,479.923797607422,NA,419.156372070312,NA,65.4420318603516,NA,0.487037434055032,NA,NA,NA
"18","2020_C2_CET_GWAS_Serere_106_3_Root1_image1_1_2021-11-13-06-09-44",NA,146848,NA,149630.5,NA,0.981404192327099,NA,1506.02856111526,NA,426,NA,418,NA,3245,NA,57,NA,443.33203125,NA,423.944366455078,NA,54.776481628418,NA,0.292490930580024,NA,NA,NA
"19","2020_C2_CET_GWAS_Serere_106_3_Root1_image2_1_2021-11-13-06-09-58",NA,281805,NA,286516,NA,0.983557637269821,NA,2115.63368046284,NA,573,NA,606,NA,4873,NA,46,NA,670.000671386719,NA,540.234497070312,NA,29.1187000274658,NA,0.591480453567701,NA,NA,NA
"20","2020_C2_CET_GWAS_Serere_106_4_Root1_image2_1_2021-11-13-06-12-21",NA,121307,NA,123075.5,NA,0.985630771355794,NA,1346.73923802376,NA,424,NA,379,NA,3082,NA,57,NA,437.958892822266,NA,353.228546142578,NA,114.755226135254,NA,0.591188305232784,NA,NA,NA
"21","2020_C2_CET_GWAS_Serere_106_4_Root1_image3_1_2021-11-13-06-12-39",NA,134259,NA,135424.5,NA,0.99139372860893,NA,1419.98693096638,NA,439,NA,376,NA,3093,NA,59,NA,452.580413818359,NA,380.074279785156,NA,97.227897644043,NA,0.542905306769758,NA,NA,NA
"22","2020_C2_CET_GWAS_Serere_106_4_Root2_image2_1_2021-11-13-06-13-24",NA,142134,NA,144476.5,NA,0.983786290503992,NA,1479.3321647644,NA,465,NA,436,NA,3254,NA,66,NA,448.320983886719,NA,410.291290283203,NA,123.518836975098,NA,0.403061106487972,NA,NA,NA
"23","2020_C2_CET_GWAS_Serere_106_4_Root3_image2_1_2021-11-13-06-14-27",NA,184963,NA,187651,NA,0.985675535968367,NA,1693.79306077957,NA,501,NA,488,NA,3785,NA,61,NA,546.684326171875,NA,442.685394287109,NA,50.5535354614258,NA,0.586755439324364,NA,NA,NA
"24","2020_C2_CET_GWAS_Serere_106_4_Root3_image3_1_2021-11-13-06-14-48",NA,159477,NA,167770,NA,0.950569231686237,NA,1764.26109707355,NA,523,NA,468,NA,3611,NA,36,NA,492.544586181641,NA,446.422790527344,NA,97.3952484130859,NA,0.422505926820527,NA,NA,NA
